id,name,cb_description
4081,InterResolve,approach car accident injury process insurer car rental agency process solution end customer attention clarity claim payment compensation car insurance cost
2785,GladCloud,trade marketing infrastructure location datum customisation asset analysis machine learn solution stakeholder brand trade customer brand product service network merchant beverage cosmetic salon food delivery table booking service restaurant
23680,13th-Lab,lab generation computer vision devices lab camera potential device sensor building tool platform technology vehicle space mission application platform ipad2 owner
2932,Hilson-Moran,consultancy building service sustainability facility management service service engineer office leisure hotel project
22003,1928-Diagnostics,health company datum cloud healthcare provider resistance software service outbreak trace diagnostic infection control hospital
21617,1939-Games,game development studio gaming experience card game game element card game genre fuse game action fun card game project veteran
23558,2021.AI,business oversight management team expertise science platform business differentiator client partner component organization business problem datum capability model employee location
22310,20nine,brand range category industry insight way marketing problem energy originality build brand view math
21774,21GRAMS,management customer technology leadership postage optimisation combination knowledge experience post print document management software offer customer production bulk mailing communication process postage expense saving opportunity postage market
9229,Geltor,biodesign company world designer protein nature tree life biology protein optimization fermentation performance consumer protein functionality benefit protein product curiosity optimization performance
4726,Cloud-Sustainability,software platform change way sustainability knowledge consultancy training cost educate empower user self sufficiency term benefit
2475,IOCOM,communication software videoconferencing collaboration solution barrier communication ease use performance security price business afford experience communication
23525,21st.BIO,bioproduction startup assist company molecule innovation scale production order market demand transition company manufacture foundation focus market expression system access performance strain platform production media yield stability
4315,iSIZE-Technologies,company network datum video preprocessing order saving encoder quality improvement bitrate service tag recognition conjunction content delivery
8761,NPS,order exploit polymer technology research laboratory licence technology application industry
246,Iterable,cross channel platform power customer experience empower marketer optimize interaction experience customer market automation platform optimize customer interaction
19064,Cyrus-Audio,company manufacture precision fi equipment -channel audio company premium market position engineering attention design detail
25530,24SevenOffice,/erp web application -market module invoice project management file management e mail addition product service partner bank payroll accounting firm -integration webex](/organization company market accounting module market
23102,2D-fab-AB,manufacturer product production material powder graphite supply material industry transport medicine electronic energy defense desalination
8367,Utmost,legacy vendor management system enterprise solution source engage optimize workforce company
3351,Jiffy.ai,software company platform day enterprise business task robot scenario change organization staff worry task value system right processing data format decision algorithm customer solution rule automation level process
9293,eleXsys-Energy,energy company technology unlock electricity nerk service way flow electricity grid
741,Gemfire,atmosphere technology base planar conductor type processing technology solution system integrator family performance telecom specialty component company operation aerospace support operation telecom manufacturing capability
3560,Jobandtalent,jobandtalent demand marketplace labor market company way mission reduction unemployment world labor market state company flexibility growth liquidity market state labor market worker employment situation platform order labor flexibility company worker company office plan expansion
25024,360-Logistics,supplier -party logistic store fulfillment deliver market logistic service business owner growth store operator shipment warehouse area box employee
21625,3rd-Eye-Studios,collection technology movie tv game industry veteran game groundbreake technology tool game developer group game industry veteran position company
126,Joost,undertake skype founder demand video player programming television service video advertisement programs type image ad side back medium giant competitor organization livestation](http://www.techcrunch.com/2007/07/06/-look livestation content deal financier forum p/2007/08 widget party widget video platform joost download video browser joost desktop client user demand tv internet addition tv experience tool user chat friend channel display user scene content peer peer technology cost channel owner datum server user rest data user user talk hardware manufacturer embed](http://www.techcrunch.com/2007/06/15 change platform tv box change tv industry update software client catalog
14040,NAVENTIK-GmbH,precision software solution automobile pathinfder sensor system car driving area security level
24369,3Shape,leader dentistry state art scan solution software dentist laboratory country
22957,3TEMP-AB,design develop service tool equipment coffee industry quality segment head office knowledge support investment manufacture market end drip filter coffee brewer segment year people industry experience knowledge elevate position player drip filter coffee brewer segment
25192,42Networks,product system solution voip solution market product generation product
22815,46elks,number developer globe platform tool developer telephony infrastructure application word developer
25010,4Subsea,4subsea provider technology service operator production subsea oil gas field wind farm expert engineering competence experience service integrity subsea asset way company client oil gas operator supplier subsea equipment 4subsea solution platform forefront oil gas wind operation
24698,A2O,concept process climate food plant product food manufacturing process company inquiry inquiry form website
25510,A3P-Biomedical,prostate cancer diagnosis treatment prostate cancer diagnostic product stockholm3 blood test detection prostate cancer test protein marker markers data purpose prostate cancer stage
25360,AAC-Microtec,space solution system customer company manufacture microelectronic system spacecraft development tool system integration equipment debugger satellite lite development kits company satellite system sub system integration architecture product space wire avionic power product µpol arte
155,Just-Eat,vision way consumer restaurant consumer access variety delivery restaurant order food restaurant business exposure revenue stream today world leader activity continent restaurant nerk root company boot growth company launch internationalisation company momentum series investment round team market country energy quality activity success investment venture capitalist parent company
3602,Nature’s-Fynd,food company protein microbe springs company mission food people planet fermentation technology protein fraction land water resource agriculture
24656,Aalbun-Ltd,aalbun innovation property startup property space service tool platform glass request service innovation property pricing model mission democratise simplify process innovation innovators world patent filer world startup
2867,Kaptivo,collaboration meeting capability note meeting capability note school conjunction collaboration tool productivity content
24423,Aapiable.io,service customer developer partner portal gateway time organization gateways developer touchpoint pre adaptor management system product business need
15785,Maniko-Nails,distributor cosmetic item nail nail nail strip finish chip product starter manicure accessory gift
8,JustPark,parking era mission help driver parking save time stress decision name property manage asset app driver parking space time information price availability restriction direction space location time app peace mind award parking technology parking owner operator efficiency experience revenue driveway office hotels authority car park industry datum solution like solution side market parking space process offer driver choice option confidence availability frictionless experience parking journey competition sector service customer satisfaction parking app 0bn industry age
22116,Aava-Mobile,team industry expert background development design equipment manufacturer platform flexibility operator user interface content service operator device competitor
23702,abeo,understanding need anesthesiologist goal level service business sophistication healthcare environment revenue billing management technology time practice time life
24280,Abionyx-Pharma,biotechnology company therapie indication treatment one drug treatment disease basis
22624,Absolicon-Solar-Concentrator,energy system concentrators collector company electricity heat tap water heating heat air conditioning desalination process heat application product application hotel apartment building sport center industry airport restaurant supermarket
4683,Tracsis,variety datum capture report resource optimisation problem provision range service product service increase efficiency reduce cost performance decision capability client customer office service project company use video recording way accuracy completeness traffic flow count video camera system service datum capture analysis client reputation industry leader position collaboration university research departments consultants equipment manufacturers forefront transport datum collection analysis technique time analyst information staff pride work result survey mean traffic transport behaviour report result format requirement resource world class service quality approach survey management analysis report datum issue quality control time market leader video survey technology expert type datum collection project coverage team video manual survey analysis range service
23585,Abzu,desire challenge assumption intelligence analysis insight model datum scientist office
9901,Episode-1,venture capital fund stage technology company mixture number entrepreneur support fund manager growth business investment seed round software business transform industry entrepreneur theirselve approach invest hand role business entrepreneur experience change sector world class talent customer problem entrepreneur data people passion ambition execute speed hurdle way portfolio company software technology marketplace group range industry theme founder market company product client reference month role company company financing round entrepreneur stage ventures company entities investment partnership office number portfolio company
24246,Academica,company infrastructure service company core competency business company employee work dependability solution cost saving company life cycle cost
22631,Acadia-Pharmaceuticals-Inc.,company development commercialization molecule drug treatment system disorder subsidiarie portfolio product candidate compound pimavanserin indication collaboration subsidiary indication disease psychosis development therapy schizophrenia disease psychosis feasibility study
455,Codat,saas service provider company time connectivity software provider institution product business customer lift integration provider focus integration product business customer
21651,Acamp,acamp capture community demand campground addition landowner business land place camp
3141,Pathee,pathee search engine information people location generation search engine information one location
9447,Genius-Sports,leader distribution commercialization service datum solution league federation partner sporting body world federation league partnership work sport datum organization commitment sport solution partner protection integrity commercialization sport datum success industry future sport datum work sport opportunity
23751,Acarix,research research group award trade association research development collaboration support oundation spin company shareholder venture capital collaborator und
22556,Accedo,service medium industry world video service provider broadcaster service provider number product brand launch video service market engagement range solution service video experience platform device customer video service distribution focus video experience consumer video service cloud platform operator broadcaster brands freedom build manage quality video experience way service team design custom video experience type video service provider office customer continent company enterprise customer
382,CoMentis,company research development molecule drug neurovascular disease disease ad age macular degeneration disorder company merger disease franchise
917,24Symbols,solution book device internet connection device internet conection smartphone laptop
3255,ABK-Biomedical,market biomaterial treatment option patient tumor company radiology procedure embolization
10642,GeoSentric,gypsii market lifestyle application networking platform people place community network technologies transfer location information mobile devices office geo1v
23648,Accelerace,world seed accelerator startup growth company company partner initiative scale startup work health help entrepreneur mentor bootcamp network lifetime usd startup partnership mentor network life science startup
28,8tracks-Radio,internet radio network stream user song playlist track track internet radio network tune mixtape track people love music radio style manner
21023,Acconeer,tech startup sensor generation device breakthrough technology microradar world interaction radar technology human device way power strength team company background mobile industry management position sale business development company startup venture capital location
9922,Cylon-Controls,manufacture platform energy solution business class hvac light control extensibility building service time information building condition energy management
93,Common-Room,build community time work acuman skill content development time impact nature community understand community context time obtain intelligence community time insight inform action reporting engagement capability team community time message manual work time impact project market shift community acquisition role community professional term business impact value team contribution business form metric outcome executive order cross understanding manage community scale impact user business
22627,Accumulate,solution service platform authentication transaction offering payment eco system payment device payment situation environment technology merchant application platform platform developer application issuer client payment generation service login signature service loyalty coupon voucher gift card
10767,Get-Heli,marketplace helicopter charter operator book request broker market marketplace overhead side charter market margin price end customer booking process pricing request broker operator website app lead time market experience chain end consumer service provider access landing site airport
23887,Acerta-Analytics,machine learn intelligence solution quality control precision manufacturer part highway vehicle product datum insight manufacturer product market defect solution manufacturer indicator product failure root cause analysis scrap rework throughput customer decision optimize production product quality profit
3202,Cúram-Software,cúram enterprise management program software solution service labor health security military startup agency customer service organization citizen expectation office
25054,Acknoledger,plagiarism engine platform approach identifier content collaborate current solution asset
24057,Acquia,platform building experience organization world time market customer engagement cross impact experience company
5969,AI-XPRT,compliance assurance audit world leader company service sector use automation audit compliance client account information regulation
23745,Activity-Stream,organization efﬁcient business datum intelligence insight time action activity place organization business system picture business relevance view context pattern opportunity threat time stakeholder observation advantage infrastructure rip system
23837,Actiwave,actiwave spin research group lead system focus research acoustic signal processing home
427,CruiseWise,wisdom simplicity cruise partner time cruise industry report booking coast cruise dip cruise booking number accident point term cruise book volume information ship service level construction date photo cabin entertainment facility layout
6769,Alasco,project controller developer workflow availability datum information source productivity participant method probability error transparency decision
23252,Acumem,provider software analyze performance environment customer success benefit technology system partnership company core market company sale office
22294,Adamant-Health,technology analyse disease symptom research technology visibility patient symptom treatment company term datum post market study diagnostic tool medication
4294,AllPlants,vegan meal delivery service packaging dinner plant people planet journey hand meal
2752,Powr-of-You,consumer intelligence tool brand consumer footprint brand consumer behavior view device platform market roi consumer life place share revenue reward win model power datum provider consumer
133,AllPeers,source software extension browser user file folder web page image link browser peer peer technology user contact item people user line text message sharing item user item notification hand corner browser window contact button user contact file folder image user share window web page drop page browser window location speed toolbar button
25307,Adapteva,semiconductor technology company world energy multicore microprocessor architecture order magnitude number chip breakthrough architecture impact range end user product device generation supercomputer groundbreake architecture class computer computing range end market power device generation supercomputer program environment source approach architecture interface programming information
23515,ADCendo,company type drugs antibody drug conjugate novel target cancer form novel treatment
44,Kong,power microservice source gateway service connectivity platform cloud protocol language product legacy technology
477,doubleTwist,vision medium platform internet venture capital firm investor application user user music video medium doubletwist ecosystem medium app user country chip partner doubletwist developer choice award number app withdrawal dream team investor founder
2274,Estateguru,marketplace property loan sme investment opportunity investor base ecosystem estate financing invest service provider sme investor marketplace institution cross border service borrower investor team professional nationality
22995,Addbutment-Dental,introduce solution position solution handle manner value dentist technician solution type implant market abutment seal way system angle concept product size platform minimizes stock compnt simplifie handling process time dentist addition case solution efficiency flexibility
23637,addwish,addwish provider wish list service consumer shop consumer wishlist family friend interface mobile gift retailer addwish supply webshop plugin functionality website benefit merchant addwish promote product user traffic lead generation
23459,Adenium-Biotech-ApS,company development commercialization novel antibiotic treatment infection treatment infection tract infection hospital ventilator pneumonia drug bacteria tract infection bacteria coli infection bacteremia cholangitis traveler diarrhea infection pneumonia cure hospital strain cause life infection pneumonia ventilator pnemonia indication bacteria aeruginosa pneumoniae cause infection patient host defense mechanism pathogen patient infection pneumonia utis bacteremia aeruginosa drug strain hospital antibiotic risk individual species baumannii infection trauma patient post trauma mortality soldier war infection infection tract infection strain antibiotic treat strive treatment amino acid peptide lugworm efficacy bacteria window variants program toxicology efficacy variant lead optimization selection lead product candidate company group expert board focus program development filing
4,Elastic,source feature family offering date download organization power mission system use case search metric security datum fund workforce employee country
20874,Finclude,credit scoring system business consumer way behavior credit history
13194,DIREVO-Industrial-Biotechnology,solution industries development optimization biocatalyst throughput platform industry chemical business product conjunction leader division shareholder equity firm investor
4900,Aptatek-Biosciences,diagnosis disease laboratorie core technology aptamer sequences molecule biomarker blood pressure range marker laboratory
938,AppExtras,cross promotion network mobile application publisher publisher ability cash application user app publisher earning brand publisher recommendation
23712,Admazely,technology company setup webshop option time commerce professional integration risk solution webshop visitor basis company version platform
13195,Cardion,company gene delivery stem cell engineering tolerance induction capability gene therapy product
154,Arthur,platform productivity machine learning model partner company industry enterprise grade system company
171,Artimi,fables semiconductor company development marketing sale semiconductor software reference design delivery speed wireless connectivity consumer electronic device company silicon solution wireless connectivity technology product controller evaluation kit adaptor reference design kit disk drive reference design kit printer reference design kit
401,Ascend,payment solution purpose insurance automate insurance payment customer payment premium financing distribution commission carrier payable insurance distributor simplify operation payment friction checkout experience customer
21662,Adnavem,logistics technology company cargo owner logistic supplier tech platform client bespoke logistic solution trade transport customer supplier engagement control market pricing service performance company
22133,adQuota,mobile advertisement platform publisher website application platform tool publication advertising experience format app web site mobile device tablet production display campaign publisher reader app user
22706,Adra-Software,market software process management process accounting finance team control accuracy solution accounting department overview company balancing process time
22664,ADS-TEC-Energy,energy storage energy conversion voltage level vehicle system product service battery management system management control system datum access monitor control solution
23661,Advalight,company quality laser equipment treatment company technology use removal lesion treatment skin rejuvenation skin procedure ground product work founder research form basis company focus research development partner market laser collaboration partner distribution sale channel
22435,AdvanDx,provider test identification pathogen infection patient mission provider therapy order outcome use hospital cost
850,Peppy,health platform area menopause fertility pregnancy man health woman health work employer team member expert support touch button app health journey matter
25527,Advisus,people advertising campaign job solution expert knowledge power guide step
23619,AeroGuest,adoption guest user interface payment transaction end end commerce platform hospitality industry
491,Evolven-Software,change configuration management groundbreaking monitoring solution software service solution company stability risk production outage operate cost environment incident investigation time effort
24700,Affibody,affibody company generation product therapy imaging application technology platform affibody ® molecule affibody ® robust bind number target protein range application protein purification inhibition research reagent protein capture detection diagnostic image therapeutic
536,Backbone,backbone gaming controller cloud gaming power latency gaming device gaming gamer phone controller launch console pc game location
15821,Opus-Safety,software developer safety management risk assessment survey audits audits survey e staff train client safety standard
24952,Afresh,company software track demand order produce grocery store company operator supply chain platform complexity category brick mortar retailer wholesaler platform intelligence machine learn forecast datum point item level prediction demand recommendation account supply chain constraint margin client waste freshness multiply business profitability
22992,Agency9,agency9 provider web solution 3d visualisation information map collaboration communication company
5252,LabGenius,company protein therapeutic machine evolution engine protein engineering platform edge technology field machine biology robotic
186,Factual,location datum company world brand tech company business product engineering team marketer data analyst world datum place people product advertising business datum context
1660,Banneya-London,collaboration way jewellery customer journey customise designer piece order fusion technology craftsmanship enable piece demand
10921,Magnax,yokeless flux technology market company value strengthen position subsidiary company market approach flux technology ground e mobility subsidiary flux technology aerospace
24523,Agente-Imovel-Inteligencia-de-Busca,companion home life cycle living sell financing platform connects´buyer seller broker use information tool estate decision home owner market price discovery price trend price comparison platform concept
22030,Ageras,matchmaking service accounting bookkeeping tax preparation service professional criterion
621,Base4,innovation development state art technology molecule analysis edge value technology feasibility portfolio
21597,Agilefant,study expert work method approach plan gilefant source web tool management user base community tool todo scale team development project way term product portfolio management organization agility research company model adapt team structure assignment change team structure way tool tool todo scale team development project way term product portfolio management organization agility freelance developer organization agile project project work activity time people portfolio degree accuracy adapt work question
24050,Agile-Therapeutics,specialty pharmaceutical company development woman product patch system combination woman health need woman
25080,Agoprene,materialtech company furniture foam plant fiber petrochemical usage furniture industry foam petrochemical contact mode mail address
23858,agreement24-avtal24,service company document automation technology web application content service consumer businesse version lawyer market avtal24 cloud platform software scale market product jurisdiction law create question user design database agreement market opportunity technology customer experience help
320,Foodily,way search recipe selection recipe chef blogger one business thing time calorie ingredient cancer refining search criterion pie time recipe order community like friend recipe collection way medium note tag tool collection recipe taste mood memory share playlist food friend recipe decision recipe friend recipe result recipe
174,Funding-Circle,business finance investor return idea lending business investor return future business access funding job community economy
288,Beam-Impact,impact tech company app customer mission brand impact commerce integration partner brand nonprofit value customer brand portion cost mission community consumer mission brand impact nonprofit order impact
494,Beauty-Pie,beauty buyer club member quality beauty wellness product factory cost price supplier premium body care candle fragrance accessory supplement
103,GenSight-Biologics,gene therapy treatment disease company development commercialization gene therapy treatment disease result team founder company approach degeneration condition vision patient vision blindness
24463,Agrieye,advice quality quantity fertilizer nutrition plant protection chemical crop subscription base farmer growth cycle soil subscriber drone camera amass datum air hardware opensource datum processing software web family farm tool land efficiency risk prediction
21673,Agrikaab,mission agrifood tech startup investment agriculture mission generation farmer food security region job agriculture industry technology agriculture country economy investment improvement sector impact people economy
22490,Agro-Intelligence,company founder ceo goal company knowledge product technology platform field company focus solution sensor automation agri plant industry company advantage potential area precision farming automation solution agriculture standard trend industry machine machine market automation solution distributor machinery producer technologie market
13201,Talea,goal quality life care people care relative carer worry stress guilt interaction coordination addition communication payer physician pharmacy
211,HouseTrip,holiday rental website property destination guest homeowner book list holiday rental property husband wife team office fund investor
23729,Ahandyhand,peer service provider platform user provider time skill task user client community network website meeting point people job person skill time job idea meeting point task solution home market peer peer network platform delivery help assistance task client provider search engine qualification provider client code category search result description provider provider
415,Big-Health,therapeutic company offer therapeutic program health issue medicine care sleep improvement program consultation professional individual sleep disorder manner
226,BioXell,spinout disease autoimmunity idea founder director career path research unit project
109,Hutch,action racing game head office team play game service idea stock group game community experience time game feedback player player datum creativity improve theirselve meet value team way game share team team problem time flow execution team ie nature thing thing fun place
1256,Predina-Tech,risk vehicle accident location time insurance safety purpose crash factor street intersection weather condition time
12,BitPay,enterprise grade payment solution business organization paymet gateway payment protocol support payment request payment communication support solution wallet solution hardware security integration user hardware level protection generation transaction sign key processing relationship headquarter
23074,Ahum,leg psychologist art director engineer psychology reception psychology year psychologist people psychologist feel therapist market client therapy form therapist person support situation times energy knowledge sector remit care healthcare sector people health chair
1826,BlockFrauds,blockfraud data management software simplify workflow business resilience platform machine learn workflow automation touchpoint datum ecosystem datum collection datum insight company
22401,AiBA,moderator tool identify detect time detection profile toxicity amount content conversation moderator
