Unnamed: 0.1,Unnamed: 0,id,name,cb_description,industry1,score1,industry2,score2,industry3,score3
0,0,1820,0xKYC,modular knowledge system identity credential management reimagine create knowledge proof zkps prove ofac sanction know fraud wallet list,cybersecurity,0.352,payments,0.31,professional services,0.31
2,2,3640,10X-Genomics,create revolutionary dna sequence technology help researcher well identify subtle variation overlook technology shre biological sample tiny fragment sequence short stretch computer assemble genome,biotech,0.406,genomics,0.378,longevity,0.342
3,3,9594,111Skin,commit positive luxury skincare push boundary technological change establish sustainable philanthropic female lead future skincare addition source ethical material cut edge ingredient,beauty,0.457,fashion,0.342,social impact,0.312
5,5,473,1stdibs,internet company offer marketplace rare desirable object furniture fashion fine art jewelry feature online base platform connect respected dealer maker sophisticated collector share pursuit beautiful design,fashion,0.466,e-commerce,0.453,analytics,0.411
6,6,7956,1v1Me,application allow user play match favorite video game cash community meet play member company found base,esports,0.457,social networks,0.352,sharing economy,0.335
7,7,9457,21sportsgroup,online sport good retailer offer selection running shoe bicycle apparel accessory amateur athlete runner cyclist triathlete right professional athlete market range sporting good mainly area outdoor action run cycling triathlon sport combine e commerce retail business reduce gap online offline retail service product company available immediate shipping found base wurttemberg,fashion,0.48,e-commerce,0.32,sport & wellness,0.318
9,9,917,24Symbols,solution read digital book read device internet connection allow read read device internet conection ereader smartphone laptop,mobile,0.383,iot,0.357,healthcare,0.247
10,10,5470,2GIS,international technology company develop service comfortable life city mission help people live city expensive company internet accord forbes main product company city information service bring map navigator business directory active user service cover city country available free mobile application io,analytics,0.379,platforms,0.367,travel,0.258
11,11,5958,352-Medical-Group,local organisation trust healthcare professional clinic hospital provide excellence choice diagnosis education treatment health need mission world class provider healthcare solution put patient forefront aim preferred choice patient healthcare professional,healthcare,0.388,sharing economy,0.282,physical storage,0.271
12,12,4004,365-Response,response unique software service organisation different create solution directly respond specific challenge collaborate client multiple sector understand detailed requirement identify gap accordingly implement solution response team unique combination fast pace innovative approach establish system unparalleled industry experience proud solution help client achieve improved service level significant cost saving,platforms,0.425,productivity,0.419,future of work,0.285
13,13,5635,365Scores,cross platform application enable user create personalized sport channel individual live score news form media channel video highlight statistic fixture standing tweet major sport platform available language,esports,0.492,mobile,0.362,media,0.342
14,14,4797,3Box,storage simple secure private design store data user lighter trustworthy enjoy reduce datum management liability,cloud infrastructure,0.457,sharing economy,0.323,e-commerce,0.321
16,16,8364,3D-Robotics,make advanced drone technology easily accessible construction mining surveying industry use datum analysis help user land mapping site scan service collect accurate aerial datum turn urn drone photo map model point cloud provide comprehensive onboarde ongoing support enable client batter informed decision relate construction site found headquarter,agtech,0.432,business intelligence,0.321,future of work,0.318
18,18,3918,3sun-Group,limited subsidiary provide hydraulic control instrumentation product service oil gas sector worldwide furthermore offer skilled technician installation servicing wind turbine offshore application onsite testing inspection service oil gas renewable asset technical vocational training service europe limit found base great yarmouth,professional services,0.306,oceantech,0.279,human resources,0.278
19,19,1767,40-Partners-Ltd,produce talent broadcaster brand short form feature length studio go bit different hopefully game changer talent stay touch course,entertainment,0.413,future of work,0.328,esports,0.312
